name,description
Chest Fly (Band),"Apertura de pecho con banda, juntando los brazos al frente en arco con los codos ligeramente flexionados."
Chest Fly (Dumbbell),"Acostado en banco, abre los brazos en arco con los codos algo flexionados y junta las mancuernas arriba sin chocarlas."
Chest Fly (Machine),"Apertura de pecho en máquina, con el recorrido guiado y tensión constante."
Chest Fly (Suspension),"Con cintas de suspensión e inclinado al frente, abre los brazos en arco y ciérralos controlando el descenso del cuerpo."
Chest Press (Band),"Press de pecho con banda anclada atrás, empujando los brazos al frente hasta extenderlos."
Chest Press (Machine),"Sentado en la máquina, empuja los agarres al frente hasta extender los brazos y regresa controlando."
Chest Supported Incline Row (Dumbbell),"Con el pecho apoyado en un banco inclinado, jala las mancuernas hacia arriba llevando los codos atrás. El apoyo elimina el balanceo."
Chest Supported Reverse Fly (Dumbbell),"Con el pecho apoyado en banco inclinado, abre los brazos hacia los lados hasta la altura de los hombros para trabajar el deltoides posterior."
Chest Supported Y Raise (Dumbbell),"Con el pecho apoyado en banco inclinado, eleva los brazos en diagonal formando una Y sobre la cabeza."
Chin Up,Dominada con agarre supino al ancho de los hombros. Jala hasta pasar la barbilla sobre la barra y baja con control.
Chin Up (Assisted),Dominada supina con asistencia de máquina o banda elástica para reducir el peso efectivo.
Chin Up (Weighted),Dominada supina con lastre añadido en cinturón o chaleco.
Clamshell,"Acostado de lado con las rodillas flexionadas, separa la rodilla superior manteniendo los pies juntos y la cadera quieta."
Clap Push Ups,Flexión explosiva en la que despegas las manos del piso y aplaudes antes de volver a apoyarlas.
Clean,"Levantamiento olímpico: lleva la barra desde el piso hasta los hombros en un solo movimiento, recibiéndola en sentadilla frontal."
Clean and Jerk,Cargada de la barra a los hombros seguida de un envión por encima de la cabeza hasta extender los brazos.
Clean and Press,"Cargada de la barra a los hombros seguida de un press estricto por encima de la cabeza, sin impulso de piernas."
Clean Pull,"Primera fase de la cargada: jala la barra desde el piso con extensión completa de cadera, sin recibirla en los hombros."
Climbing,"Escalada en muro o roca, con trabajo de agarre, tracción y estabilidad de todo el cuerpo."
Concentration Curl,"Sentado con el codo apoyado en la cara interna del muslo, flexiona el brazo concentrando la tensión en el bíceps."
Cross Body Hammer Curl,Curl con agarre neutro llevando la mancuerna en diagonal hacia el hombro contrario.
Crunch,"Acostado boca arriba con las rodillas flexionadas, despega los omóplatos del piso contrayendo el abdomen. El movimiento es corto."
Crunch (Machine),"Encogimiento abdominal en máquina, flexionando el torso contra la resistencia."
Crunch (Weighted),Encogimiento abdominal sosteniendo un disco sobre el pecho o detrás de la cabeza.
Curtsy Lunge (Dumbbell),"Zancada cruzando la pierna trasera por detrás y en diagonal, como una reverencia, con mancuernas en las manos."
Cycling,"Ciclismo continuo en ruta o estático, manteniendo una cadencia sostenida."
Dead Bug,"Acostado boca arriba con brazos y piernas arriba, extiende un brazo y la pierna contraria sin despegar la zona lumbar del piso."
Dead Hang,"Colgado de la barra con los brazos extendidos, manteniendo la posición el mayor tiempo posible con los hombros activos."
Deadlift (Band),"Peso muerto con banda bajo los pies, extendiendo cadera y rodillas contra la resistencia elástica."
Deadlift (Barbell),"Con la barra pegada a las canillas y la espalda recta, extiende cadera y rodillas al mismo tiempo hasta quedar de pie. Baja controlando la trayectoria pegada al cuerpo."
Deadlift (Dumbbell),"Peso muerto con mancuernas a los costados, manteniendo la espalda neutra durante todo el recorrido."
Deadlift (Smith Machine),"Peso muerto en multipower, con la trayectoria de la barra guiada verticalmente."
Deadlift (Trap bar),Peso muerto con barra hexagonal. La posición central de las manos reduce la carga sobre la zona lumbar.
Deadlift High Pull,Peso muerto seguido de un jalón alto que lleva la barra hasta la altura del pecho con los codos por encima.
Decline Bench Press (Barbell),"Press de banca en banco declinado, lo que desplaza el énfasis hacia la porción inferior del pectoral."
Decline Bench Press (Dumbbell),"Press declinado con mancuernas, con mayor recorrido y control independiente de cada brazo."
Decline Bench Press (Machine),"Press declinado en máquina, con recorrido guiado."
Decline Bench Press (Smith Machine),"Press declinado en multipower, con la barra guiada verticalmente."
Decline Chest Fly (Dumbbell),"Apertura de pecho en banco declinado, con los codos ligeramente flexionados durante todo el arco."
Decline Crunch,"Encogimiento abdominal en banco declinado, con los pies sujetos en la parte alta."
Decline Crunch (Weighted),Encogimiento en banco declinado sosteniendo un disco contra el pecho.
Decline Push Up,"Flexión con los pies elevados sobre un banco, lo que aumenta la carga sobre hombros y pecho superior."
Diamond Push Up,Flexión con las manos juntas formando un triángulo bajo el pecho. Enfatiza los tríceps.
Downward Dog,"Postura de yoga en V invertida, con las manos y los pies apoyados, la cadera alta y la espalda extendida."
Drag Curl,Curl en el que la barra sube rozando el torso mientras los codos se desplazan hacia atrás.
Dragon Flag,"Acostado en banco sujetando el respaldo, eleva el cuerpo recto desde los hombros y baja lentamente sin doblar la cadera."
Dragonfly,Variante avanzada del dragon flag con control total del descenso y el cuerpo completamente alineado.
Dumbbell Row,"Con una rodilla y una mano apoyadas en el banco, jala la mancuerna hacia la cadera llevando el codo hacia atrás."
Dumbbell Snatch,"Lleva la mancuerna desde el piso hasta encima de la cabeza en un solo movimiento explosivo, extendiendo la cadera."
Dumbbell Squeeze Press,Press de pecho presionando las mancuernas una contra otra durante todo el recorrido para aumentar la tensión en el pectoral.
Dumbbell Step Up,"Sube a un cajón con una pierna sosteniendo mancuernas, extendiendo la cadera arriba y bajando con control."
Elbow to Knee,Encogimiento cruzado llevando el codo hacia la rodilla contraria para trabajar los oblicuos.
Elliptical Trainer,"Trabajo cardiovascular en elíptica, con movimiento continuo de piernas y brazos y bajo impacto articular."
EZ Bar Biceps Curl,Curl de bíceps con barra Z. El agarre inclinado reduce la tensión en las muñecas.
Face Pull,"Desde la polea alta con cuerda, jala hacia la cara separando las manos y llevando los codos altos hacia atrás."
Farmers Walk,"Camina una distancia determinada sosteniendo cargas pesadas a los costados, con el torso erguido y los hombros firmes."
Fire Hydrants,"En cuatro apoyos, eleva una pierna flexionada hacia el costado manteniendo la cadera estable."
Floor Press (Barbell),"Press acostado en el piso. El recorrido se detiene cuando los codos tocan el suelo, lo que carga más los tríceps."
Floor Press (Dumbbell),"Press en el piso con mancuernas, con el recorrido limitado por el contacto de los codos con el suelo."
Floor Triceps Dip,"Sentado en el piso con las manos apoyadas atrás, eleva la cadera y flexiona los codos para trabajar los tríceps."
Flutter Kicks,"Acostado boca arriba con las piernas extendidas y elevadas, alterna movimientos cortos de arriba abajo sin tocar el piso."
Frog Jumps,"Desde una sentadilla profunda, salta hacia adelante o en el lugar y aterriza de nuevo en posición de sentadilla."
Frog Pumps (Dumbbell),"Acostado boca arriba con las plantas de los pies juntas y las rodillas abiertas, eleva la cadera apretando los glúteos."
Front Lever Hold,"Colgado de la barra, mantén el cuerpo horizontal y recto de cara hacia arriba, con los brazos extendidos."
Front Lever Raise,"Desde la posición colgada, eleva el cuerpo hasta la horizontal del front lever y baja con control."
Front Raise (Band),"Elevación frontal de hombros con banda, subiendo los brazos extendidos hasta la altura de los hombros."
Front Raise (Barbell),"Elevación frontal con barra, subiendo hasta la altura de los hombros sin balancear el torso."
Front Raise (Cable),"Elevación frontal en polea baja, con tensión constante en todo el recorrido."
Front Raise (Dumbbell),"Elevación frontal con mancuernas hasta la altura de los hombros, controlando el descenso."
Front Raise (Suspension),"Elevación frontal con cintas de suspensión, usando el peso corporal como resistencia."
Front Squat,Sentadilla con la barra apoyada al frente sobre los deltoides. Mantén los codos altos y el torso vertical.
Full Squat,"Sentadilla profunda bajando por debajo de la paralela, manteniendo la espalda neutra y los talones apoyados."
Glute Bridge,"Acostado boca arriba con las rodillas flexionadas, eleva la cadera apretando los glúteos hasta alinear torso y muslos."
Glute Ham Raise,"En el banco específico, baja el torso controlando con los isquiotibiales y sube sin ayuda de la cadera."
Glute Kickback (Machine),"Extensión de cadera en máquina, llevando la pierna hacia atrás contra la resistencia."
Glute Kickback on Floor,"En cuatro apoyos, extiende una pierna hacia atrás y arriba apretando el glúteo, sin arquear la espalda baja."
Goblet Squat,"Sentadilla sosteniendo una mancuerna o pesa rusa contra el pecho, lo que ayuda a mantener el torso vertical."
Good Morning (Barbell),"Con la barra en la espalda alta, flexiona la cadera llevando el torso al frente con la espalda recta y regresa extendiendo la cadera."
Gorilla Row (Kettlebell),"Con el torso inclinado y dos pesas rusas en el piso, jala una y luego la otra alternando, manteniendo la cadera estable."
Hack Squat,"Sentadilla con la barra tomada por detrás de las piernas, subiendo con la espalda recta."
Hack Squat (Machine),"Sentadilla en máquina hack, con la espalda apoyada en el respaldo y el recorrido guiado."
Hammer Curl (Band),Curl con agarre neutro usando banda elástica.
Hammer Curl (Cable),"Curl con agarre neutro en polea baja, con tensión constante."
Hammer Curl (Dumbbell),Curl con las palmas enfrentadas durante todo el recorrido. Trabaja el braquial y el antebrazo además del bíceps.
Handstand Hold,"Parada de manos sostenida, con el cuerpo alineado y el core activo. Puede hacerse contra la pared."
Handstand Push Up,"Desde la parada de manos, baja la cabeza hacia el piso flexionando los codos y empuja hasta extender los brazos."
Hang Clean,"Cargada iniciando con la barra a la altura de los muslos o rodillas, sin partir desde el piso."
Hang Snatch,"Arranque iniciando con la barra a la altura de los muslos, llevándola sobre la cabeza en un solo movimiento."
Hanging Knee Raise,"Colgado de la barra, eleva las rodillas hacia el pecho controlando el balanceo del cuerpo."
Hanging Leg Raise,"Colgado de la barra, eleva las piernas extendidas hasta la altura de la cadera sin usar impulso."
Heel Taps,"Acostado boca arriba con los omóplatos algo elevados, toca alternadamente cada talón inclinando el torso hacia el costado."
Hex Press (Dumbbell),Press de pecho con las mancuernas presionadas entre sí durante todo el recorrido.
High Knee Skips,"Saltos alternos elevando la rodilla a la altura de la cadera, con impulso de brazos."
High Knees,Carrera en el lugar elevando las rodillas hasta la altura de la cadera a ritmo alto.
HIIT,Entrenamiento por intervalos que alterna esfuerzos de alta intensidad con periodos cortos de recuperación.
Hiking,"Caminata en terreno natural con desnivel, de duración prolongada y ritmo sostenido."
Hip Abduction (Machine),"Sentado en la máquina, separa las piernas contra la resistencia y regresa controlando."
Hip Adduction (Machine),"Sentado en la máquina, junta las piernas contra la resistencia trabajando los aductores."
Hip Thrust,"Con la espalda apoyada en un banco, eleva la cadera hasta alinear torso y muslos apretando los glúteos arriba."
Hip Thrust (Barbell),Empuje de cadera con barra apoyada sobre la pelvis. Usa una almohadilla para amortiguar la barra.
Hip Thrust (Machine),"Empuje de cadera en máquina específica, con la carga guiada."
Hollow Rock,"Acostado boca arriba en posición hueca con brazos y piernas extendidos, mécete manteniendo la zona lumbar pegada al piso."
Incline Bench Press (Barbell),"Press en banco inclinado, que desplaza el énfasis hacia la porción superior del pectoral y los hombros."
Incline Bench Press (Dumbbell),"Press inclinado con mancuernas, con mayor recorrido y trabajo independiente de cada brazo."
Incline Bench Press (Smith Machine),"Press inclinado en multipower, con trayectoria guiada."
Incline Chest Fly (Dumbbell),"Apertura de pecho en banco inclinado, con los codos ligeramente flexionados."
Incline Chest Press (Machine),"Press inclinado en máquina, con recorrido guiado y respaldo de apoyo."
Incline Push Ups,"Flexión con las manos apoyadas en una superficie elevada, lo que reduce la carga respecto a la flexión estándar."
Inverted Row,"Bajo una barra fija, con el cuerpo recto y los talones apoyados, jala el pecho hacia la barra."
Iso-Lateral Chest Press (Machine),"Press de pecho en máquina con brazos independientes, lo que evita compensar con el lado más fuerte."
Iso-Lateral High Row (Machine),"Remo alto en máquina con brazos independientes, jalando desde arriba hacia el torso."
Iso-Lateral Low Row,"Remo bajo con brazos independientes, llevando los codos hacia atrás y juntando los omóplatos."
Iso-Lateral Row (Machine),Remo en máquina con brazos independientes para trabajar cada lado por separado.
Jack Knife (Suspension),"En plancha con los pies en las cintas, lleva las rodillas al pecho deslizando y regresa extendiendo."
Jackknife Sit Up,"Acostado boca arriba, eleva al mismo tiempo el torso y las piernas extendidas hasta tocar los pies con las manos."
JM Press (Barbell),Mezcla de press cerrado y extensión de tríceps: baja la barra hacia el cuello con los codos adelante y empuja.
Jump Rope,"Salto de cuerda continuo, con impulso desde los tobillos y giro desde las muñecas."
Jump Shrug,"Desde la posición de peso muerto, extiende la cadera con fuerza y encoge los hombros despegando los talones."
Jump Squat,"Sentadilla seguida de un salto vertical, aterrizando con las rodillas flexionadas para amortiguar."
Jumping Jack,"Salto abriendo piernas y subiendo los brazos por encima de la cabeza, regresando a la posición inicial en el siguiente salto."
Jumping Lunge,"Zancada con salto alternando la pierna adelantada en el aire, aterrizando con control."
Kettlebell Clean,"Lleva la pesa rusa desde el piso o entre las piernas hasta la posición de rack en el hombro, sin golpear el antebrazo."
Kettlebell Curl,"Curl de bíceps sosteniendo la pesa rusa por el asa, con el peso colgando bajo la muñeca."
Kettlebell Goblet Squat,Sentadilla sosteniendo la pesa rusa contra el pecho por las asas.
Kettlebell High Pull,"Jalón alto con pesa rusa, llevándola hasta la altura del pecho con el codo por encima de la muñeca."
Kettlebell Shoulder Press,Press por encima de la cabeza con la pesa rusa apoyada en el antebrazo desde la posición de rack.
Kettlebell Snatch,Lleva la pesa rusa desde entre las piernas hasta encima de la cabeza en un solo movimiento continuo.
Kettlebell Swing,"Balancea la pesa rusa entre las piernas y proyéctala al frente con la extensión de cadera, no con los brazos."
Kettlebell Turkish Get Up,"Desde acostado, levántate hasta quedar de pie manteniendo la pesa rusa extendida sobre la cabeza durante todo el recorrido."
Kipping Pull Up,Dominada con impulso coordinado de cadera y hombros para encadenar repeticiones.
Knee Raise Parallel Bars,"Apoyado en paralelas con el torso suspendido, eleva las rodillas hacia el pecho."
Kneeling Pulldown (band),"Arrodillado bajo una banda anclada arriba, jala hacia abajo hasta la altura del pecho llevando los codos atrás."
Kneeling Push Up,"Flexión apoyando las rodillas en el piso, lo que reduce la carga del ejercicio."
L-Sit Hold,"Suspendido o apoyado en paralelas, mantén las piernas extendidas al frente formando una L con el cuerpo."
Landmine 180,"Con la barra en el anclaje landmine sujeta al frente, gira el torso llevando el extremo de un lado al otro en arco."
Landmine Row,"Con la barra en el anclaje landmine, jala el extremo hacia el abdomen con el torso inclinado."
Landmine Squat and Press,"Sentadilla sosteniendo el extremo de la barra en el pecho, seguida de un press al frente al subir."
Lat Pulldown (Band),"Jalón al pecho con banda anclada arriba, llevando los codos hacia abajo y atrás."
Lat Pulldown (Cable),"Sentado en la polea alta, jala la barra hasta la parte alta del pecho llevando los codos abajo. Evita balancear el torso."
Lat Pulldown (Machine),"Jalón al pecho en máquina, con recorrido guiado."
Lat Pulldown - Close Grip (Cable),"Jalón al pecho con agarre estrecho, que aumenta el recorrido y el trabajo de la parte baja del dorsal."
Lateral Band Walks,"Con una banda alrededor de las piernas y las rodillas semiflexionadas, camina de costado manteniendo la tensión."
Lateral Box Jump,"Salto lateral sobre un cajón, aterrizando con ambos pies y las rodillas flexionadas."
Lateral Leg Raises,"Acostado de lado, eleva la pierna superior extendida y baja controlando el movimiento."
Lateral Lunge,Da un paso amplio hacia el costado y flexiona esa pierna manteniendo la otra extendida.
Lateral Raise (Band),"Elevación lateral de hombros con banda, subiendo hasta la altura de los hombros."
Lateral Raise (Cable),"Elevación lateral en polea, con tensión constante durante todo el recorrido."
Lateral Raise (Dumbbell),Eleva las mancuernas hacia los costados hasta la altura de los hombros con los codos ligeramente flexionados. No uses impulso.
Lateral Raise (Machine),"Elevación lateral en máquina, con los brazos apoyados y recorrido guiado."
Lateral Squat,Sentadilla lateral desplazando el peso hacia una pierna mientras la otra permanece extendida.
Leg Extension (Machine),"Sentado en la máquina, extiende las rodillas hasta estirar las piernas y baja controlando."
Leg Press (Machine),Empuja la plataforma con los pies hasta casi extender las rodillas y baja controlado sin despegar la cadera del respaldo.
Leg Press Horizontal (Machine),"Prensa de piernas horizontal, empujando la plataforma al frente desde una posición sentada."
Leg Raise Parallel Bars,"Apoyado en paralelas, eleva las piernas extendidas hasta la altura de la cadera."
Low Cable Fly Crossovers,"Desde poleas bajas, junta las manos al frente y arriba describiendo un arco ascendente."
Low Row (Suspension),"Con cintas de suspensión y el cuerpo inclinado hacia atrás, jala el torso hacia las manos manteniendo el cuerpo recto."
Lunge,Da un paso al frente y baja hasta que ambas rodillas formen ángulo recto. Regresa empujando con la pierna delantera.
Lunge (Barbell),"Zancada con barra en la espalda alta, manteniendo el torso erguido."
Lunge (Dumbbell),Zancada sosteniendo mancuernas a los costados.
Lying Knee Raise,"Acostado boca arriba, eleva las rodillas hacia el pecho despegando la cadera del piso y baja con control."
Lying Leg Curl (Machine),"Boca abajo en la máquina, flexiona las rodillas llevando los talones hacia los glúteos."
Lying Leg Raise,"Acostado boca arriba, eleva las piernas extendidas hasta la vertical y baja sin tocar el piso."
Lying Neck Curls,"Acostado boca arriba en un banco con la cabeza fuera del borde, flexiona el cuello llevando la barbilla al pecho."
Lying Neck Curls (Weighted),Flexión de cuello acostado con un disco ligero apoyado en la frente.
Lying Neck Extension,"Boca abajo con la cabeza fuera del banco, extiende el cuello elevando la mirada al frente."
Lying Neck Extension (Weighted),Extensión de cuello boca abajo con un disco ligero apoyado en la nuca.
Meadows Rows (Barbell),"Con la barra en anclaje landmine y el torso perpendicular, jala el extremo con una mano llevando el codo hacia atrás y arriba."
Mountain Climber,"En posición de plancha, lleva las rodillas al pecho alternando rápido sin elevar la cadera."
Muscle Up,Dominada explosiva seguida de una transición sobre la barra hasta terminar con los brazos extendidos.
Negative Pull Up,Parte con la barbilla sobre la barra y baja lo más lento posible controlando todo el descenso.
Nordic Hamstrings Curls,"Arrodillado con los tobillos sujetos, baja el torso al frente resistiendo con los isquiotibiales."
Oblique Crunch,Encogimiento lateral llevando el codo hacia la cadera del mismo lado para trabajar los oblicuos.
One Arm Push Up,Flexión con un solo brazo apoyado y los pies separados para estabilizar.
Overhead Curl (Cable),"Con los brazos abiertos a la altura de los hombros en poleas altas, flexiona los codos llevando las manos hacia la cabeza."
Overhead Dumbbell Lunge,Zancada sosteniendo una o dos mancuernas por encima de la cabeza con los brazos extendidos.
Overhead Press (Barbell),"De pie con la barra a la altura de los hombros, empuja por encima de la cabeza hasta extender los codos. Mantén el abdomen firme y evita arquear la espalda."
Overhead Press (Dumbbell),"Press por encima de la cabeza con mancuernas, permitiendo un recorrido natural de los hombros."
Overhead Press (Smith Machine),"Press por encima de la cabeza en multipower, con trayectoria guiada."
Overhead Squat,Sentadilla sosteniendo la barra extendida por encima de la cabeza. Exige movilidad de hombros y tobillos.
Pause Squat (Barbell),Sentadilla con una pausa de dos a tres segundos en la posición baja antes de subir.
Pendlay Row (Barbell),"Remo con el torso paralelo al piso, partiendo cada repetición con la barra apoyada en el suelo."
Pendulum Squat (Machine),"Sentadilla en máquina pendular, con recorrido en arco y espalda apoyada."
Pike Pushup,"Con la cadera elevada en V invertida, flexiona los codos bajando la cabeza hacia el piso."
Pilates,"Trabajo de control postural, fuerza del core y movilidad con movimientos precisos y respiración coordinada."
Pinwheel Curl (Dumbbell),"Curl con agarre neutro llevando la mancuerna en diagonal hacia el hombro contrario, manteniendo la palma hacia adentro."
Pistol Squat,"Sentadilla a una pierna con la otra extendida al frente, bajando hasta abajo y subiendo sin apoyo."
Plank,"Apoyado en antebrazos y puntas de los pies, mantén el cuerpo alineado sin hundir ni elevar la cadera."
Plank Pushup,"Alterna entre plancha sobre antebrazos y plancha sobre manos, subiendo y bajando un brazo a la vez."
Plate Curl,Curl de bíceps sujetando un disco por los bordes con ambas manos.
Plate Front Raise,Elevación frontal sujetando un disco por los lados hasta la altura de los ojos.
Plate Press,Press de pecho sujetando un disco con ambas manos y empujándolo al frente.
Plate Squeeze (Svend Press),Presiona dos discos entre las palmas a la altura del pecho y extiende los brazos al frente sin dejar de apretar.
Power Clean,"Cargada recibiendo la barra en los hombros en posición alta, sin llegar a la sentadilla completa."
Power Snatch,"Arranque recibiendo la barra sobre la cabeza en posición alta, sin sentadilla completa."
Preacher Curl (Barbell),"Con los brazos apoyados en el banco Scott, flexiona los codos subiendo la barra sin despegar los tríceps del apoyo."
Preacher Curl (Dumbbell),"Curl en banco Scott con mancuerna, un brazo a la vez."
Preacher Curl (Machine),"Curl en máquina con apoyo para los brazos, con recorrido guiado."
Press Under,"Desde la posición de cargada, empuja el cuerpo debajo de la barra mientras extiendes los brazos."
Pull Up,"Colgado con agarre prono, jala hasta pasar la barbilla sobre la barra y baja hasta extender los brazos."
Pull Up (Assisted),Dominada con asistencia de máquina o banda para reducir parte del peso corporal.
Pull Up (Band),Dominada asistida con banda elástica sujeta a la barra y apoyada en el pie o la rodilla.
Pull Up (Weighted),Dominada con lastre en cinturón o chaleco.
Pullover (Dumbbell),"Acostado en banco, baja la mancuerna por detrás de la cabeza con los codos algo flexionados y regresa al pecho."
Pullover (Machine),"Pullover en máquina, jalando el brazo de la palanca desde arriba hacia el abdomen."
Push Press,Press por encima de la cabeza usando un impulso corto de piernas para iniciar el movimiento.
Push Up,"En posición de plancha con las manos al ancho de los hombros, baja el pecho hacia el piso y empuja hasta extender los brazos."
Push Up (Weighted),Flexión con un disco o chaleco lastrado sobre la espalda alta.
Push Up - Close Grip,Flexión con las manos juntas bajo el pecho y los codos cerca del torso.
Rack Pull,Peso muerto parcial partiendo desde soportes a la altura de las rodillas.
Rear Delt Reverse Fly (Cable),"Apertura posterior en poleas cruzadas, llevando los brazos hacia atrás a la altura de los hombros."
Rear Delt Reverse Fly (Dumbbell),"Con el torso inclinado al frente, abre los brazos hacia los lados hasta la altura de los hombros."
Rear Delt Reverse Fly (Machine),"Apertura posterior en máquina, con el pecho apoyado y recorrido guiado."
